Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
AAPL,AAPL,Buy,2008-11-03 16:00:00,0.987202188618,0.987202188618,3.0,106.5,319.5,17.0,5621.89,5.0,0.16,
AAPL,AAPL,Buy,2008-12-01 16:00:00,0.985921559013,0.985921559013,15.0,88.55,1328.25,32.0,4429.54,5.0,1.33,
GOOG,GOOG,Sell,2008-12-01 16:00:00,0.985921559013,0.985921559013,-5.0,265.99,-1329.95,6.0,4429.54,5.0,1.33,
AAPL,AAPL,Buy,2009-01-02 16:00:00,0.983226756126,0.983226756126,21.0,90.36,1897.56,53.0,4789.08,5.0,1.91,
GOOG,GOOG,Sell,2009-01-02 16:00:00,0.983226756126,0.983226756126,-6.0,321.32,-1927.92,0.0,4789.08,5.0,1.91,
AAPL,AAPL,Sell,2009-02-02 16:00:00,0.956512336748,0.956512336748,-24.0,91.12,-2186.88,29.0,4685.9,5.0,2.12,
GOOG,GOOG,Buy,2009-02-02 16:00:00,0.956512336748,0.956512336748,6.0,340.57,2043.42,6.0,4685.9,5.0,2.12,
AAPL,AAPL,Buy,2009-03-02 16:00:00,0.985417769599,0.985417769599,9.0,87.56,788.04,38.0,4635.92,5.0,0.72,
GOOG,GOOG,Sell,2009-03-02 16:00:00,0.985417769599,0.985417769599,-2.0,327.16,-654.32,4.0,4635.92,5.0,0.72,
AAPL,AAPL,Sell,2009-04-01 16:00:00,0.943984880229,0.943984880229,-22.0,108.23,-2381.06,16.0,5272.58,5.0,2.25,
GOOG,GOOG,Buy,2009-04-01 16:00:00,0.943984880229,0.943984880229,6.0,354.09,2124.54,10.0,5272.58,5.0,2.25,
AAPL,AAPL,Sell,2009-05-01 16:00:00,0.960583333728,0.960583333728,-12.0,126.7,-1520.4,4.0,6018.46,5.0,1.55,
GOOG,GOOG,Buy,2009-05-01 16:00:00,0.960583333728,0.960583333728,4.0,393.69,1574.76,14.0,6018.46,5.0,1.55,
AAPL,AAPL,Buy,2009-06-01 16:00:00,0.976709142441,0.976709142441,19.0,138.75,2636.25,23.0,6603.73,5.0,2.6,
GOOG,GOOG,Sell,2009-06-01 16:00:00,0.976709142441,0.976709142441,-6.0,426.56,-2559.36,8.0,6603.73,5.0,2.6,
AAPL,AAPL,Buy,2009-07-01 16:00:00,0.984189606594,0.984189606594,15.0,142.22,2133.3,38.0,6661.33,5.0,2.11,
GOOG,GOOG,Sell,2009-07-01 16:00:00,0.984189606594,0.984189606594,-5.0,418.99,-2094.95,3.0,6661.33,5.0,2.11,
AAPL,AAPL,Sell,2009-08-03 16:00:00,0.964523450331,0.964523450331,-12.0,165.72,-1988.64,26.0,7474.19,5.0,1.9,
GOOG,GOOG,Buy,2009-08-03 16:00:00,0.964523450331,0.964523450331,4.0,452.21,1808.84,7.0,7474.19,5.0,1.9,
AAPL,AAPL,Sell,2009-09-01 16:00:00,0.972455313358,0.972455313358,-8.0,164.59,-1316.72,18.0,7520.22,5.0,1.34,
